S.N.,Symbol,Company,Units,Price,Opening Date,Closing Date,Last Closing Date,Listing Date,Issue Manager,Status,View
156,PPCL,Panchthar Power Company Limited,"1,750,250.00",100.00,2019-02-25,2019-03-01,2019-03-26,2019-05-02,Sanima Capital Limited,Closed,
157,SSHL,Shiva Shree Hydropower Limited,"3,351,140.00",100.00,2019-10-03,2019-11-01,2019-11-01,2020-10-22,Siddhartha Capital Limited,Closed,
158,SHIVM,Shivam Cements Limited,"4,120,000.00",300.00,2019-02-18,2019-02-26,2019-03-19,2019-03-19,Siddhartha Capital Ltd.,Closed,
159,UPCL,Universal Power Company Limited,"9,327,410.00",100.00,2019-02-08,2019-02-20,2019-03-10,2019-03-19,Siddhartha Capital Limited,Closed,
160,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,"674,000.00",100.00,2019-02-01,2019-02-05,2019-03-03,2019-03-10,Prabhu Capital Limited,Closed,
161,GHL,Ghalemdi Hydro Limited,"1,533,770.00",100.00,2019-01-03,2019-01-07,2019-02-01,2019-02-17,Vibor Capital Limited,Closed,
162,CHLBS,Chautari Laghubitta Bittiya Sanstha Limited,"600,000.00",100.00,2018-12-05,2018-12-09,2019-01-03,2019-01-02,NIBL ACE Capital Limited,Closed,
163,JOSHI,Joshi Hydropower Development Company Limited,"1,690,470.00",100.00,2018-12-02,2018-12-05,2018-12-31,2019-01-06,Siddhartha Capital Limited,Closed,
164,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,"300,000.00",100.00,2018-11-18,2018-11-21,2018-12-17,2019-01-20,Nepal SBI Merchant Banking Limited,Closed,
165,UPPER,Upper Tamakoshi Hydropower Limited,"15,885,000.00",100.00,2018-11-01,2018-11-05,2018-11-30,2019-01-10,Citizen Investment Trust &amp; Sunrise Capital Ltd.,Closed,
166,AKJCL,Ankhukhola Hydropower Company Limited,"1,376,020.00",100.00,2018-10-09,2018-10-12,2018-10-23,2018-12-19,Civil Capital Market Ltd.,Closed,
167,KPCL,Kalika Power Company Limited,"1,200,000.00",100.00,2018-09-13,2018-09-17,2018-10-14,2018-10-11,Kathmandu Capital Market Ltd. &amp; Global IME Capital Ltd.,Closed,
168,PMHPL,Panchakanya Mai Hydropower Limited,"1,100,000.00",100.00,2018-07-17,2018-07-20,2018-07-31,2018-10-10,Sunrise Capital Limited,Closed,
169,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,"480,000.00",100.00,2018-06-24,2018-06-27,2018-07-23,2018-08-23,Nabil Investment Banking Limited,Closed,
170,RRHP,Rairang Hydropower Development Company Limited.,"840,000.00",100.00,2018-05-13,2018-05-16,Coming Soon,2018-06-13,NIBL Ace Capital Limited,Closed,
171,NSEWA,Nepal Seva Laghubitta Bittiya Sanstha Limited,"180,000.00",100.00,2018-04-24,2018-04-28,2018-04-24,2018-06-06,NMB Capital Limited,Closed,
172,AMFI,Aarambha Laghubitta Bittiya Sanstha Limited,"294,000.00",100.00,2018-02-26,2018-03-04,2018-03-13,2018-03-21,NIC Asia Capital Limited,Closed,
173,RHPL,Rasuwagadhi Hydropower Company Limited,"13,342,095.00",100.00,2018-02-22,2018-03-13,Coming Soon,2019-08-06,"Siddhartha Capital Ltd., NIBL Capital Market Ltd., Global IME Capital Ltd. And Sunrise Capital Ltd.",Closed,
174,SJCL,Sanjen Jalavidhyut Company Limited,"7,117,500.00",100.00,2018-02-22,2018-03-13,Coming Soon,2019-08-06,"Citizen Investment Trust, Sunrise Capital Ltd, Global IME Capital Ltd, NMB Capital Ltd, Civil Capital Ltd, Prabhu Capital Ltd",Closed,
175,UMB,Unnati Laghubitta Bittiya Sanstha Limited,"165,000.00",100.00,2018-01-04,2018-01-08,2018-01-19,2018-02-26,Siddhartha Capital Limited,Closed,
176,RADHI,Radhi Bidyut Company Limited,"764,550.00",100.00,2017-12-17,2017-12-20,2018-01-01,2018-03-18,Nabil Investment Banking Ltd.,Closed,
177,SMB,Support Laghubitta Bittiya Sanstha Limited,"180,000.00",100.00,2017-10-03,2017-10-08,2017-11-02,2018-02-08,NMB Capital Ltd.,Closed,
178,NHDL,Nepal Hydro Developer Limited,"390,000.00",100.00,2017-08-10,2017-08-15,2017-09-10,2017-11-06,NMB Capital Ltd,Closed,
179,HPPL,Himalayan Power Partner Limited,"2,130,834.00",100.00,2017-06-14,2017-06-18,2017-06-29,2017-08-18,Global IME Capital Limited,Closed,
180,CHL,Chhyangdi Hydropower Company Limited,"540,000.00",100.00,2017-05-27,2017-05-31,2017-06-11,2017-07-26,Global IME Capital Limited,Closed,
181,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,"120,000.00",100.00,2017-04-19,2017-04-23,2017-05-04,2017-08-13,NCM Merchant Banker Limited,Closed,
182,SDESI,Swadeshi Laghubitta Bittiya Sanstha Limited,"300,000.00",100.00,2017-04-06,2017-04-10,2017-04-21,2017-07-17,NMB Capital Limited,Closed,
183,UMHL,United Modi Hydropower Limited,"1,725,000.00",100.00,2017-03-01,2017-03-05,2017-03-16,2017-05-21,NIBL Capital Markets Ltd.,Closed,
184,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,"600,000.00",100.00,2017-01-21,2017-01-24,2017-02-05,2017-05-09,Nabil Investment Banking Ltd.,Closed,
185,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,"94,800.00",100.00,2017-01-02,2017-01-05,2017-01-17,2017-05-31,NIBL Capital Markets Ltd.,Closed,
186,SPDL,Synergy Power Development Limited,"2,100,000.00",100.00,2016-12-22,2016-12-27,2017-01-06,2017-05-08,Sanima Capital Limited,Closed,
187,AKPL,Arun Kabeli Power Limited,"3,000,000.00",100.00,2016-10-24,2016-10-27,2016-11-08,2017-03-21,Siddhartha Capital Limited,Closed,
