S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
183,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,2:1,"900,000.00",100.00,2017-03-26,2017-04-29,2017-03-13,,NCM Merchant Banking Ltd.,Closed,,
184,MIDBL,Mission Development Bank Limited,1:1,"1,949,250.00",100.00,2017-03-15,2017-04-18,2017-03-06,,Vibor Capital Limited,Closed,,
185,KBL,Kumari Bank Limited,2:1,"13,495,833.00",100.00,2017-03-18,2017-04-22,2017-03-03,,Siddhartha Capital Limited,Closed,,
186,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,1:1,"2,579,238.00",100.00,2017-03-19,2017-05-07,2017-02-13,,Nabil Investment Banking Ltd.,Closed,,
187,BHBL,Bhargav Bikash Bank Limited,1:1,"1,200,000.00",100.00,2017-03-06,2017-04-09,2017-03-23,,NMB Capital Limited,Closed,,
188,KBBL,Kailash Bikas Bank Limited,5:1,"3,160,672.00",100.00,2017-02-16,2017-03-22,2016-12-29,,Global IME Capital Ltd.,Closed,,
189,NIL,Neco Insurance Limited,1:1,"3,240,436.00",100.00,2017-02-13,2017-03-19,2016-12-29,,NMB Capital Ltd.,Closed,,
190,DBBL,Deva Bikas Bank Limited,2:1,"4,405,440.00",100.00,2017-01-21,2017-03-09,2017-01-02,,NIBL Capital Markets Ltd.,Closed,,
191,MFIL,Manjushree Finance Limited,1:1.8,"4,386,375.00",100.00,2017-01-18,2017-02-21,2016-12-24,,Ace Capital Ltd.,Closed,,
192,SKDBL,Saptakoshi Development Bank Limited,1:1,"1,000,000.00",100.00,2017-01-07,2017-02-11,2016-12-23,,NMB Capital Limited,Closed,,
193,KADBL,Kanchan Development Bank Limited,2:1,"990,000.00",100.00,2017-01-01,2017-02-04,2016-12-15,,Global IME Capital Limited,Closed,,
194,SAFL,Sagarmatha Finance Limited,10:8,"2,954,389.00",100.00,2016-12-25,2017-01-29,2016-12-09,,NIBL Capital Market Limited,Closed,,
195,NBSL,Namaste Bittiya Sanstha Limited,1:1,"375,000.00",100.00,2016-12-22,2017-01-25,2016-12-09,,NMB Capital Limited,Closed,,
196,WDBL,Western Development Bank Limited,1:1,"1,569,600.00",100.00,2016-12-06,2017-01-24,2017-01-25,,Prabhu Capital Limited,Closed,,
197,SEWA,Sewa Bikas Bank Limited,1:1.20,"5,106,662.00",100.00,2016-12-07,2017-01-10,2016-10-05,2017-05-08,NMB Capital Limited,Closed,,
198,MBL,Machhapuchchhre Bank Limited,2:1,"19,322,700.00",100.00,2016-12-03,2017-01-14,2016-10-28,2017-04-03,Civil Capital Market Limited,Closed,,
199,NBBL,Nagbeli Laghubitta Bikash Bank Limited,2:1,"125,000.00",100.00,2016-12-04,2017-01-22,2017-01-23,2017-07-04,NMB Capital Limited,Closed,,
200,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,1:1.20,"552,000.00",100.00,2016-11-20,2016-12-25,2016-11-03,,Laxmi Capital Market Limited,Closed,,
201,SETI,Seti Finance Limited,1:1.50,"951,786.00",100.00,2016-11-15,2016-12-19,2016-10-26,,NIBL Capital Markets Limited,Closed,,
202,JBNL,Janata Bank Nepal Limited,2:1,"10,300,000.00",100.00,2016-11-15,2016-12-25,2016-12-26,,NCM Merchant Banking Limited,Closed,,
203,KDBL,Kasthamandap Development Bank Limited,4:1,"1,699,742.00",100.00,2016-11-10,2016-12-14,2016-10-25,,NCM Merchant Banking Limited,Closed,,
204,HBL,Himalayan Bank Limited,7:1,"6,427,350.00",100.00,2016-11-10,2016-12-14,2016-10-26,,Laxmi Capital Market Limited,Closed,,
205,TBBL,Triveni Bikas Bank Limited,2:1,"4,100,076.00",100.00,2016-11-07,2016-12-11,2016-10-17,2017-03-06,Ace Capital Limited,Closed,,
206,SBL,Siddhartha Bank Limited,4:1,"7,555,193.00",100.00,2016-10-26,2016-11-29,2016-10-03,,Laxmi Capital Market Ltd.,Closed,,
207,ADBL,Agricultural Development Bank Limited,2:1,"19,688,000.00",100.00,2016-10-18,2016-11-21,2016-09-26,,Ace Capital Limited.,Closed,,
208,ARDBL,Araniko Development Bank Limited,10:3.6,"928,190.00",100.00,2016-10-23,2016-11-26,2016-10-14,,Siddhartha Capital Limited,Closed,,
209,SHBL,Sahara Bikas Bank Limited,1:1.50,"354,000.00",100.00,2016-09-29,2016-11-02,2016-09-07,,Global IME Capital Limited,Closed,,
210,MNBBL,Muktinath Bikas Bank Limited,2:1,"4,192,164.00",100.00,2016-10-06,2016-11-09,2016-09-15,,NIBL Capital Market Limited,Closed,,
211,MDB,Miteri Development Bank Limited,2:1,"1,056,370.00",100.00,2016-10-16,2016-11-19,2016-09-22,,Prabhu Capital Limited,Closed,,
212,GMFIL,Guheswori Merchant Banking &amp; Finance Limited,2:1,"1,468,697.00",100.00,2016-10-06,2016-11-09,2016-09-04,2017-01-23,NIBL Capital Market Limited,Closed,,
213,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,1:1,"1,100,000.00",100.00,2016-09-29,2016-11-07,2016-09-11,,NMB Capital Limited,Closed,,
214,UFL,United Finance Limited,4:1,"1,159,836.00",100.00,2016-07-13,2016-09-10,2016-07-04,,Nabil Investment Banking Limited,Closed,,
215,MMDBL,Mount Makalu Development Bank Limited,1:1.50,"390,000.00",100.00,2016-08-31,2016-10-04,2016-08-05,,NIBL Capital Markets Ltd.,Closed,,
216,PCBL,Prime Commercial Bank Limited,3:1,"12,350,874.00",100.00,2016-08-27,2016-10-01,2016-08-04,,Civil Capital Market Limited,Closed,,
217,WOMI,Womi Laghubitta Bittiya Sanstha Limited,2:1,"180,000.00",100.00,2016-08-28,2016-10-01,2016-08-05,2016-12-28,Siddhartha Capital Limited,Closed,,
218,CCBL,Century Commercial Bank Limited,10:3,"8,522,400.00",100.00,2016-08-20,2016-09-24,2016-08-02,,Civil Capital Market Limited,Closed,,
219,PURBL,Purnima Bikas Bank Limited,2:1,"1,008,544.00",100.00,2016-08-16,2016-09-19,2016-08-04,,Siddhartha Capital Limited,Closed,,
220,MEGA,Mega Bank Nepal Limited,4:1,"8,101,438.00",100.00,2016-08-10,2016-09-13,2016-07-25,2016-12-15,Global IME Capital limited,Closed,,
221,IGIL,IME General Insurance Limited,10:8,"1,200,000.00",100.00,2016-08-06,2016-09-10,2016-07-21,,Global IME Capital limited,Closed,,
222,MSBBL,Manaslu Bikas Bank Limited,2:1,"917,648.00",100.00,2016-08-06,2016-09-10,2016-07-21,,Prabhu Capital Ltd.,Closed,,
223,SINDU,Sindhu Bikas Bank Limited,1:1,"1,209,375.00",100.00,2016-08-06,2016-09-10,2016-07-22,,NIBL Capital Markets Ltd.,Closed,,
224,SLICL,Surya Life Insurance Company Limited,4:1,"125,000.00",100.00,2016-08-03,2016-09-06,2016-07-12,2017-01-31,Laxmi Capital market Limited,Closed,,
225,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,2:1,"169,740.00","16,974,000.00",2016-08-02,2016-09-05,2016-07-22,2017-01-02,Civil Capital Markets Ltd.,Closed,,
226,ALDBL,Alpine Development Bank Limited,3:2.10,"820,000.00",100.00,2016-08-02,2016-09-05,2016-07-05,,Nmb Capital Limited,Closed,,
227,CSDBL,Cosmos Development Bank Limited,1:1,"503,125.00",100.00,2016-07-25,2016-08-28,2016-07-18,,Civil Capital Markets Ltd.,Closed,,
228,CZBIL,Citizens Bank International Limited,10:5.50,"16,858,786.00",100.00,2016-06-18,2016-07-23,2016-06-06,,Global IME Capital Ltd.,Closed,,
229,SANIMA,Sanima Bank Limited,2:1,"15,301,440.00",100.00,2016-06-25,2016-07-30,2016-06-07,,Nabil Investment Banking Ltd,Closed,,
230,RHPC,Ridi Hydropower Development Company Limited,10:3.50,"1,155,000.00",100.00,2016-06-14,2016-07-18,2016-05-27,,Global IME Capital Ltd.,Closed,,
231,KRBL,Karnali Development Bank Limited,2:1,"400,000.00",100.00,2016-05-14,2016-07-13,2016-04-25,,Growmore Merchant Banker Ltd,Closed,,
232,NICA,NIC Asia Bank Limited,4:1,"9,237,540.00",100.00,2016-05-25,2016-06-28,2016-05-13,,Civil Capital Market Ltd.,Closed,,
233,NCDB,Nepal Community Development Bank Limited,1:1,"1,000,000.00",100.00,2016-05-11,2016-06-14,2016-04-29,,NIBL Capital Markets Ltd.,Closed,,
234,JHBL,Jhimruk Bikas Bank Limited,10:1,"48,500.00",100.00,2016-03-29,2016-05-02,2016-03-10,,Growmore Merchant Banker Ltd.,Closed,,
235,TNBL,Tinau Development Bank Limited,4:1,"546,193.00",100.00,2016-03-10,2016-04-13,2016-02-28,,Siddhartha Capital Ltd.,Closed,,
236,SADBL,Shangrila Development Bank Limited,4:1,"1,840,000.00",100.00,2016-02-20,2016-03-26,2016-02-04,,NMB Capital Ltd.,Closed,,
237,SFFIL,Srijana Finance Limited,2:1,"672,000.00",100.00,2016-02-07,2016-03-12,2016-01-19,2016-11-11,NCM Merchant Banking Ltd.,Closed,,
